sample,grain_yield
ACC0000,48.98
ACC0001,46.236
ACC0002,44.032
ACC0003,36.38
ACC0004,57.228
ACC0005,45.673
ACC0006,42.869
ACC0007,52.077
ACC0008,45.937
ACC0009,49.535
ACC0010,43.552
ACC0011,53.151
ACC0012,47.514
ACC0013,41.782
ACC0014,44.253
ACC0015,40.891
ACC0016,47.938
ACC0017,44.105
ACC0018,44.5
ACC0019,50.074
ACC0020,50.471
ACC0021,55.333
ACC0022,60.413
ACC0023,52.422
ACC0024,53.93
ACC0025,52.072
ACC0026,53.94
ACC0027,54.37
ACC0028,47.696
ACC0029,44.633
ACC0030,44.516
ACC0031,45.944
ACC0032,46.705
ACC0033,48.725
ACC0034,63.956
ACC0035,50.796
ACC0036,44.752
ACC0037,61.018
ACC0038,51.162
ACC0039,45.794
